SurgicalService,Name,axa_name,axa_severity,protocolised_adm
Thoracic Surgery,LOBECTOMY OF MIDDLE LOBE OF RIGHT LUNG,Pulmonary lobectomy including segmental resection,Complex,Yes
General Surgery,LOBECTOMY OF THYROID GLAND,Total thyroid lobectomy and isthmectomy,Major,No
Head and Neck,LOBECTOMY OF THYROID GLAND,Total thyroid lobectomy and isthmectomy,Major,No
Thoracic Surgery,LOBECTOMY OF THYROID GLAND,Total thyroid lobectomy and isthmectomy,Major,Yes
,LOBECTOMY OF THYROID GLAND,Total thyroid lobectomy and isthmectomy,Major,No
Thoracic Surgery,LOBECTOMY OF UPPER BILOBECTOMY OF RIGHT LUNG,Pulmonary lobectomy including segmental resection,Complex,Yes
Thoracic Surgery,LOBECTOMY OF UPPER LOBE OF LEFT LUNG,Pulmonary lobectomy including segmental resection,Complex,Yes
Thoracic Surgery,LOBECTOMY OF UPPER LOBE OF RIGHT LUNG,Pulmonary lobectomy including segmental resection,Complex,Yes
Colorectal Surgery,LOCAL ADVANCEMENT FLAP,Local flap ? less than 9cm2,Major,No
Head and Neck,LOCAL EXCISION,"Excision of lesion of skin or subcutaneous tissue - up to three, Head & Neck (excluding lipoma)",Minor,No
Urology,LOCAL EXCISION OF LESION OF URETHRA,Excision of urethral caruncle,Minor,No
Gynaecology,LOCAL EXCISION OF LESION OF VULVA,Excision of lesion of vulva,Minor,No
Thoracic Surgery,"LOCAL EXCISION OF LESION OR TISSUE OF THORAX, RIBS OR STERNUM",Excision of chest wall tumour - with chest wall reconstruction,Xmajor,Yes
Head and Neck,LOCAL EXCISION OF SKIN,"Excision of lesion of skin or subcutaneous tissue - up to three, Head & Neck (excluding lipoma)",Minor,No
Head and Neck,LOCAL EXCISION OF SKIN AND SUBCUTANEOUS TISSUE,Primary excision of malignant lesion - head and neck,Intermediate,No
Head and Neck,LOCAL ROTATION FLAP,Local flap ? less than 9cm2,Major,Yes
Urology,LOCAL ROTATION FLAP,Local flap ? less than 9cm2,Major,No
Head and Neck,"LOCAL ROTATION FLAP, MYOCUTANEOUS",Local flap ? less than 9cm2,Major,Yes
Orthopaedics,LOCALISED FUSION OF JOINTS OF MIDFOOT AND FOREFOOT,Isolated sub talar fusion or mid foot fusion without autogenous graft (adult),Major,No
General Surgery,LONG OESOPHAGEAL MYOTOMY,Oesophagocardiomyotomy (Heller's operation),Major,No
Upper Gastro-intestinal Surgery,LONG OESOPHAGEAL MYOTOMY,Oesophagocardiomyotomy (Heller's operation),Major,No
Colorectal Surgery,LOOP COLOSTOMY,Open formation of colostomy,Major,No
General Surgery,LOW ANTERIOR RESECTION OF RECTUM,Anterior resection - low (ie colorectal anastomosis at or below the peritoneal reflection,Complex,No
Colorectal Surgery,LOW ANTERIOR RESECTION OF RECTUM,Anterior resection - low (ie colorectal anastomosis at or below the peritoneal reflection,Complex,No
Colorectal Surgery,LOW ANTERIOR RESECTION OF RECTUM AND TOTAL EXCISION OF MESORECTUM,Anterior resection - low (ie colorectal anastomosis at or below the peritoneal reflection,Complex,No
,LUMBAR PUNCTURE,Lumbar puncture (including spinal manometry),Minor,No
Breast Surgery,LUMPECTOMY OF RIGHT BREAST,Excision of breast lump/fibroadenoma,Intermediate,No
Thoracic Surgery,LUNG EXCISION,Pneumonectomy,Complex,Yes
Thoracic Surgery,LUNG RESECTION WITH CHEST WALL EXCISION,Lung resection with resection of chest wall,Complex,Yes
Thoracic Surgery,LUNG TUMOUR EXCISION,Open excision of lesion of lung,Complex,Yes
Thoracic Surgery,LUNG VOLUME REDUCTION SURGERY,VATS lung volume reduction - unilateral,Complex,Yes
Gynaecology,LYSIS OF ADHESIONS,Freeing of adhesions of peritoneum,Major,No
Orthopaedics,LYSIS OF ADHESIONS OF JOINT,Therapeutic arthroscopy operation on cavity of joint (not otherwise specified) (as sole procedure),Major,No
Gynaecology,LYSIS OF ADHESIONS OF VAGINA,Excision of lesion of vagina (e.g. warts and cysts),Intermediate,No
Urology,LYSIS OF PENILE ADHESIONS,Repair of injury to penis,Intermediate,No
Maxillo-Facial Surgery,MALAR AUGMENTATION WITH ALLOPLASTIC MATERIAL,Open reduction of fracture of zygomatic complex of bones,Major,No
Urology,MALE ARTIFICIAL URINARY SPHINCTER PROCEDURE,Implantation of artificial urinary sphincter at bladder neck and/or removal (including cystoscopy),Major,No
General Surgery,MALONE'S OPERATION,Appendicectomy,Major,No
Breast Surgery,MAMMOPLASTY,Reduction mammoplasty - unilateral,Major,No
Head and Neck,MANDIBLE EXCISION/RECONSTRUCTION,Excision of mandible,Major,No
Head and Neck,MANDIBULAR CORONOIDECTOMY,Excision of mandible,Major,No
,MANIPULATION OF KNEE JOINT UNDER GENERAL ANAESTHESIA,Examination/ manipulation of joint under general anaesthetic +/- injection +/- arthrogram (as sole procedure),Minor,No
Orthopaedics,MANIPULATION OF KNEE JOINT UNDER GENERAL ANAESTHESIA,Examination/ manipulation of joint under general anaesthetic +/- injection +/- arthrogram (as sole procedure),Minor,No
Urology,MANIPULATION OF SEMINAL VESICLE,Operation(s) on seminal vesicle,Major,No
Orthopaedics,MANIPULATION UNDER GENERAL ANAESTHESIA (MUA),Examination/ manipulation of joint under general anaesthetic +/- injection +/- arthrogram (as sole procedure),Minor,No
,MANIPULATION UNDER GENERAL ANAESTHESIA (MUA),-,Minor,No
Head and Neck,MARSUPIALISATION,-,Unknown,No
Urology,MARSUPIALISATION OF DIVERTICULUM OF URETHRA,Excision of urethral caruncle,Minor,No
Urology,MARSUPIALISATION OF PROSTATE,Drainage of prostatic abscess,Intermediate,No
Breast Surgery,MASTECTOMY AND AXILLARY CLEARANCE,Radical mastectomy including block dissection,Major,No
Breast Surgery,MASTECTOMY OF LEFT BREAST,Simple mastectomy (including axillary node biopsy) ? unilateral,Major,No
Breast Surgery,MASTECTOMY OF RIGHT BREAST,Simple mastectomy (including axillary node biopsy) ? unilateral,Major,No
Breast Surgery,MASTECTOMY WITH PRESERVATION OF SKIN AND NIPPLE WITH SYNCHRONOUS IMPLANT,Mastectomy and immediate reconstruction of breast using expandable prosthesis and acellular dermal matrix (ADM) - unilateral,Xmajor,No
ENT,MASTOID OPERATION,Simple mastoidectomy,Major,No
Paediatric ENT,MASTOID OPERATION,Simple mastoidectomy,Major,No
ENT,MASTOIDECTOMY,Simple mastoidectomy,Major,No
Paediatric ENT,MASTOIDECTOMY,Simple mastoidectomy,Major,No
ENT,MASTOIDOTOMY,Simple mastoidectomy,Major,No
Breast Surgery,MASTOPEXY LATERALISING TECHNIQUE,Unilateral Mastopexy,Xmajor,No
Head and Neck,MAXILLECTOMY,Partial maxillectomy for malignancy,Xmajor,No
ENT,MAXILLECTOMY,Partial maxillectomy for malignancy,Xmajor,No
Head and Neck,MAXILLECTOMY WITH ORBITAL EXENTERATION,Partial maxillectomy for malignancy,Xmajor,No
ENT,MEATOPLASTY OF EXTERNAL EAR,Soft tissue meatoplasty of EAC,Intermediate,No
Urology,MEATOPLASTY OF URETHRA,Meatoplasty,Intermediate,No
Urology,MEATOTOMY OF URETHRA,Meatoplasty,Intermediate,No
Orthopaedics,MEDIAL CLOSING WEDGE OSTEOTOMY OF PROXIMAL PHALANX OF FIRST TOE,Partial excision of bone (including exostoses),Intermediate,No
ENT,MEDIAN DRAINAGE OF FRONTAL SINUS,Median drainage of frontal sinus (modified Lothrop procedure) and bilateral,Complex,No
Thoracic Surgery,MEDIAN STERNOTOMY,-,Complex,Yes
Thoracic Surgery,MEDIAN STERNOTOMY AND RETROSTERNAL PARATHYROIDECTOMY,Mediastinal parathyroidectomy with sternotomy,Complex,Yes
Thoracic Surgery,MEDIAN STERNOTOMY AND RETROSTERNAL THYROIDECTOMY,Operations on aberrant thyroid tissue (including excision/removal of retrosternal goitre),Xmajor,Yes
Thoracic Surgery,MEDIASTINOSCOPY,Diagnostic mediastinoscopy,Intermediate,Yes
Thoracic Surgery,MEDIASTINOSCOPY AND LYMPH NODE SAMPLING,Diagnostic mediastinoscopy,Intermediate,Yes
Thoracic Surgery,MEDIASTINUM EXCISION,Open resection of invasive mediastinal tumour,Complex,Yes
Head and Neck,MICRODISSECTION OF NERVE,Excision of lesion of peripheral nerve (eg neurilemoma),Intermediate,No
Breast Surgery,MICRODOCHECTOMY,Microdochotomy,Intermediate,No
Head and Neck,MICROLARYNGOSCOPIC VOCAL CORD POLYPECTOMY,"Microlaryngoscopy/laryngoscopy +/- biopsy, excision of lesion, polyp or cyst",Intermediate,No
ENT,MICROLARYNGOSCOPIC VOCAL CORD POLYPECTOMY,"Microlaryngoscopy/laryngoscopy +/- biopsy, excision of lesion, polyp or cyst",Intermediate,No
Head and Neck,MICROLARYNGOSCOPY,"Microlaryngoscopy/laryngoscopy +/- biopsy, excision of lesion, polyp or cyst",Intermediate,No
ENT,MICROLARYNGOSCOPY,"Microlaryngoscopy/laryngoscopy +/- biopsy, excision of lesion, polyp or cyst",Intermediate,No
,MICROLARYNGOSCOPY,"Microlaryngoscopy/laryngoscopy +/- biopsy, excision of lesion, polyp or cyst",Intermediate,No
Urology,MICROSURGICAL EPIDIDYMOVASOSTOMY,Unilateral epididymectomy,Minor,No
Head and Neck,MID FACE LIFT,-,Xmajor,No
ENT,MIDDLE EAR EXPLORATION THROUGH EAR CANAL INCISION,Middle ear tumour excision,Major,No
Orthopaedics,"MIDTARSAL ARTHRODESIS, NAVICULAR-CUNEIFORM, WITH TENDON LENGTHENING AND ADVANCEMENT",Complex procedure to mid foot or hind foot without autogenous bone graft (osteotomy/fusion +/? tendon transfers),Xmajor,No
Orthopaedics,"MIDTARSAL ARTHRODESIS, TRANSVERSE",Isolated sub talar fusion or mid foot fusion without autogenous graft (adult),Major,No
Orthopaedics,MIDTARSAL FUSION,Isolated sub talar fusion or mid foot fusion without autogenous graft (adult),Major,No
Urology,MINI-ABDOMINOPLASTY,"Fat transfer, including extraction and volume adjustment, of scar defect following trauma (excluding breast)",Intermediate,No
Urology,MITROFANOFF CONSTRUCTION OF CONTINENT URINARY RESERVOIR,Cystostomy and insertion of suprapubic tube into bladder (including cystoscopy),Intermediate,No
Urology,MITROFANOSCOPY,Diagnostic endoscopic examination of bladder (flexible cystoscopy) including any biopsy,Minor,No
Paediatric Urology,MITROFANOSCOPY,Diagnostic endoscopic examination of bladder (flexible cystoscopy) including any biopsy,Minor,No
,MITROFANOSCOPY,Diagnostic endoscopic examination of bladder (flexible cystoscopy) including any biopsy,Minor,No
Breast Surgery,MODIFIED RADICAL MASTECTOMY,Radical mastectomy including block dissection,Major,No
Breast Surgery,MODIFIED RADICAL MASTECTOMY OF RIGHT BREAST,Radical mastectomy including block dissection,Major,No
Head and Neck,MODIFIED RADICAL NECK DISSECTION,Radical dissection of cervical lymph nodes,Complex,Yes
Head and Neck,"MODIFIED RADICAL NECK DISSECTION OF CERVICAL LYMPH NODES, WITH PRESERVATION OF ACCESSORY NERVE",Radical dissection of cervical lymph nodes,Complex,Yes
Head and Neck,MUA - MANIPULATION UNDER ANAESTHETIC OF FRACTURED NASAL BONES,Manipulation under anaesthesia of fractured nose (as sole procedure),Minor,No
Vascular Surgery,MULTIPLE AVULSIONS OF VARICOSE VEINS,Local excision (multiple phlebectomy) of varicose vein(s) of leg - unilateral,Intermediate,No
Thoracic Surgery,MULTIPLE WEDGE EXCISIONS OF LUNG,Open excision of lesion of lung,Complex,Yes
Orthopaedics,MUSCLE TRANSFER,Microvascular free tissue transfer (when added to other codes) including closure of secondary defect,Complex,No
ENT,MYRINGOPLASTY,Myringoplasty,Major,No
Paediatric ENT,MYRINGOPLASTY,Myringoplasty,Major,No
ENT,MYRINGOTOMY AND INSERTION OF SHORT-TERM TYMPANIC VENTILATION TUBE,Myringotomy and insertion of tube through tympanic membrane (and bilateral),Intermediate,No
ENT,NASAL POLYPECTOMY,"Polypectomy of internal nose (and bilateral, including endoscopic)",Minor,No
Head and Neck,NASAL SEPTAL POLYPECTOMY,"Polypectomy of internal nose (and bilateral, including endoscopic)",Minor,No
ENT,NASAL SEPTOPLASTY,Septoplasty of nose (including attention to turbinates),Intermediate,No
,NASAL SEPTOPLASTY,Septoplasty of nose (including attention to turbinates),Intermediate,No
ENT,NASAL SEPTOPLASTY WITH SUBMUCOUS RESECTION OF NASAL SEPTUM,Septoplasty of nose (including attention to turbinates),Intermediate,No
Thoracic Surgery,NAVIGATIONAL BRONCHOSCOPIC INTRA-PULMONARY LESION BIOPSY,Endobronchial ultrasound-guided transbronchial needle aspiration (EBUS-TBNA) for mediastinal masses,Major,Yes
Head and Neck,NECK DESTRUCTIVE PROCEDURE,Radical dissection of cervical lymph nodes,Complex,Yes
Urology,NEPHRECTOMY WITH EXCISION OF PERIRENAL TISSUE,Nephrectomy and excision of perirenal tissue,Xmajor,No
Urology,NEPHROSTOGRAM,Percutaneous insertion of nephrostomy tube,Intermediate,No
Urology,NEPHROSTOMY,Percutaneous insertion of nephrostomy tube,Intermediate,No
Urology,NEPHROURETERECTOMY,Nephroureterectomy - unilateral,Xmajor,No
Urology,NEPHROURETERECTOMY WITH OPEN LOWER URETERECTOMY,Nephroureterectomy - unilateral,Xmajor,No
Thoracic Surgery,NERVE EXCISION,Excision of lesion of peripheral nerve (eg neurilemoma),Intermediate,No
Urology,NESBIT'S OPERATION ON PENIS,Operation for Peyronie's disease (eg Nesbitt's),Intermediate,No
,NESBIT'S OPERATION ON PENIS,Operation for Peyronie's disease (eg Nesbitt's),Intermediate,No
ENT,NEURECTOMY OF VIDIAN NERVE,Vidian neurectomy (including endoscopic),Major,No
Anaesthetics,NEUROSTIMULATION OF SPINAL CORD TISSUE,Implantation of spinal cord stimulator,Major,No
Bariatrics,NISSEN FUNDOPLICATION,Laparoscopic repair of hiatus hernia with anti-reflux procedure (eg fundoplication),Major,No
ENT,NOSE CLOSURE,-,Minor,No
ENT,OBLITERATION OF MASTOID CAVITY,Simple mastoidectomy,Major,No
Upper Gastro-intestinal Surgery,OESOPHAGEAL HIATUS HERNIA REPAIR,Transabdominal repair of hiatus hernia,Major,No
General Surgery,OESOPHAGEAL HIATUS HERNIA REPAIR,Transabdominal repair of hiatus hernia,Major,No
,OESOPHAGEAL HIATUS HERNIA REPAIR,Transabdominal repair of hiatus hernia,Major,No
Upper Gastro-intestinal Surgery,OESOPHAGECTOMY,Oesophagectomy/oesophagogastrectomy with anastomosis in chest,Complex,Yes
General Surgery,OESOPHAGECTOMY,Oesophagectomy/oesophagogastrectomy with anastomosis in chest,Complex,Yes
Bariatrics,OESOPHAGOGASTRODUODENOSCOPY,"Diagnostic eosophago-gastro-duodenoscopy (OGD) includes forceps biopsy, biopsy urease test and dye spray",Minor,No
General Surgery,OESOPHAGOGASTRODUODENOSCOPY,"Diagnostic eosophago-gastro-duodenoscopy (OGD) includes forceps biopsy, biopsy urease test and dye spray",Minor,No
Endoscopy,OESOPHAGOGASTRODUODENOSCOPY,"Diagnostic eosophago-gastro-duodenoscopy (OGD) includes forceps biopsy, biopsy urease test and dye spray",Minor,No
,OESOPHAGOGASTRODUODENOSCOPY,"Diagnostic eosophago-gastro-duodenoscopy (OGD) includes forceps biopsy, biopsy urease test and dye spray",Minor,No
Upper Gastro-intestinal Surgery,OESOPHAGOMYOTOMY,Oesophagectomy/oesophagogastrectomy with anastomosis in chest,Complex,Yes
Gynaecology,OMENTECTOMY,Wedge excision or removal of omentum (as sole procedure),Major,No
ENT,ONE STAGE INSERTION OF FIXTURES FOR BONE ANCHORED HEARING PROSTHESIS,Insertion of cochlear implant - unilateral,Complex,No
Paediatric ENT,ONE STAGE INSERTION OF FIXTURES FOR BONE ANCHORED HEARING PROSTHESIS,Insertion of cochlear implant - unilateral,Complex,No
,ONE STAGE INSERTION OF FIXTURES FOR BONE ANCHORED HEARING PROSTHESIS,Insertion of cochlear implant - unilateral,Complex,No
General Surgery,ONE-ANASTOMOSIS GASTRIC BYPASS,Laparoscopic biliary gastric bypass,Complex,No
Gynaecology,OOPHORECTOMY,"Open oophorectomy and salpingectomy, +/- biopsy eg. omentum, peritoneum, lymph node (as sole procedure) - unilateral",Major,No
Gynaecology,OPEN ABDOMINOPERINEAL RESECTION,Abdominoperineal resection of rectum and anus,Complex,No
Head and Neck,OPEN BIOPSY,Biopsy of lesion of mouth,Minor,No
Gynaecology,OPEN BIOPSY OF LESION OF PERITONEAL CAVITY,Omental biopsy +/- an ascitic drain under image guidance,Intermediate,No
Urology,OPEN BIOPSY OF URETHRAL LESION,Excision of urethral caruncle,Minor,No
Urology,OPEN BLADDER DIVERTICULECTOMY,Diverticulectomy of bladder,Major,No
Gynaecology,OPEN COLPOSUSPENSION,Retropubic suspension of neck of bladder (including colposuspension)(including cystoscopy),Major,No
Gynaecology,OPEN DEBULKING OF PARA-AORTIC LYMPH NODES,Block dissection of pelvic lymph nodes (as sole procedure),Major,Yes
Thoracic Surgery,OPEN EXCISION OF LESION OF LUNG,Open excision of lesion of lung,Complex,Yes
Colorectal Surgery,OPEN EXTENDED RIGHT HEMICOLECTOMY,Extended excision of right hemicolon,Xmajor,No
General Surgery,OPEN EXTENDED RIGHT HEMICOLECTOMY,Extended excision of right hemicolon,Xmajor,No
General Surgery,OPEN HIGH ANTERIOR RESECTION OF RECTUM,Anterior resection - high (i.e. colorectal anastomosis above the peritoneal reflection),Complex,No
,OPEN IRRIGATION OF HIP JOINT,"Diagnostic arthroscopic examination of hip joint including wash-out, with or without biopsy (as sole procedure)",Intermediate,No
General Surgery,OPEN LOW ANTERIOR RESECTION OF RECTUM,Anterior resection - low (ie colorectal anastomosis at or below the peritoneal reflection,Complex,No
Gynaecology,OPEN MYOMECTOMY,Myomectomy (including laparoscopically) +/- ureterolysis,Major,No
,OPEN MYOMECTOMY,Myomectomy (including laparoscopically) +/- ureterolysis,Major,No
Urology,OPEN OPERATION ON MALE URETHRA,"Simple urethroplasty, eg primary repair, segment, anterior urethra (including cystoscopy)",Major,No
Head and Neck,OPEN OSTEOTOMY OF MANDIBULAR ANGLE,Excision of mandible,Major,No
Urology,OPEN PROSTATECTOMY,"Radical prostatectomy, reconstruction of bladder neck including bilateral pelvic lymphadenectomy (including cystoscopy)",Complex,No
Gynaecology,OPEN RADICAL HYSTERECTOMY,Radical hysterectomy and lymphadenectomy (Wertheim's) +/- ureterolysis,Complex,No
Gynaecology,OPEN RADICAL HYSTERECTOMY WITH BILATERAL SALPINGO-OOPHORECTOMY,Radical hysterectomy and lymphadenectomy (Wertheim's) +/- ureterolysis,Complex,No
Orthopaedics,OPEN REDUCTION AND FIXATION,Primary open reduction of long bone with fixation,Major,No
,OPEN REDUCTION AND INTERNAL FIXATION OF FRACTURED MANDIBLE,Open reduction and fixation of fractured jaw,Intermediate,No
Head and Neck,OPEN REDUCTION AND INTERNAL FIXATION OF FRACTURED MANDIBLE,Open reduction and fixation of fractured jaw,Intermediate,No
Oral Surgery,OPEN REDUCTION AND INTERNAL FIXATION OF FRACTURED MANDIBLE,Open reduction and fixation of fractured jaw,Intermediate,No
Orthopaedics,OPEN REDUCTION AND INTERNAL FIXATION OF NON-UNION FRACTURE OF SCAPHOID WITH ILIAC CREST GRAFT,Open reduction and internal fixation of cancellous bone graft scaphoid non-union,Major,No
Maxillo-Facial Surgery,OPEN REDUCTION MAXILLARY FRACTURE,Open reduction and fixation of fractured jaw,Intermediate,No
,OPEN REDUCTION OF BIMALLEOLAR FRACTURE OF LATERAL AND MEDIAL MALLEOLI WITH INTERNAL FIXATION,"Primary open reduction of intra-articular fracture of long bone with internal fixation, eg proximal humerus or proximal tibia (with or without arthroscopic assistance)",Major,No
Orthopaedics,"OPEN REDUCTION OF CLOSED ACROMIOCLAVICULAR DISLOCATION, ACUTE",Primary open reduction of dislocation of small joint,Intermediate,No
Orthopaedics,"OPEN REDUCTION OF CLOSED ACROMIOCLAVICULAR DISLOCATION, ACUTE, WITH FASCIAL GRAFT",Primary open reduction of dislocation of large joint,Intermediate,No
Orthopaedics,OPEN REDUCTION OF DISLOCATION OF ACROMIOCLAVICULAR JOINT,Primary open reduction of dislocation of small joint,Intermediate,No
,OPEN REDUCTION OF DISLOCATION OF ACROMIOCLAVICULAR JOINT,Primary open reduction of dislocation of small joint,Intermediate,No
,OPEN REDUCTION OF DISLOCATION OF ELBOW,"Primary closed reduction of fracture or dislocation of joint, with or without fixation including cast application",Intermediate,No
Orthopaedics,OPEN REDUCTION OF DISLOCATION OF INTERPHALANGEAL JOINT OF TOE,Primary open reduction of dislocation of small joint,Intermediate,No
Orthopaedics,OPEN REDUCTION OF FRACTURE OF CALCANEUS WITH INTERNAL FIXATION,Primary open reduction of small bone with fixation including intra-articular,Intermediate,No
Orthopaedics,OPEN REDUCTION OF FRACTURE OF CLAVICLE WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation ,Major,No
,OPEN REDUCTION OF FRACTURE OF CLAVICLE WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation ,Major,No
Head and Neck,OPEN REDUCTION OF FRACTURE OF FACIAL BONE,Open reduction and fixation of fractured jaw,Intermediate,No
,OPEN REDUCTION OF FRACTURE OF FIBULA WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation ,Major,No
Orthopaedics,OPEN REDUCTION OF FRACTURE OF HUMERUS,Primary open reduction of long bone with fixation,Major,No
Orthopaedics,OPEN REDUCTION OF FRACTURE OF HUMERUS WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation,Major,No
Head and Neck,OPEN REDUCTION OF FRACTURE OF MANDIBLE WITH INTERNAL FIXATION,Open reduction and fixation of fractured jaw,Intermediate,No
Orthopaedics,OPEN REDUCTION OF FRACTURE OF MEDIAL MALLEOLUS WITH INTERNAL FIXATION,"Primary open reduction of intra-articular fracture of long bone with internal fixation, eg proximal humerus or proximal tibia (with or without arthroscopic assistance)",Major,No
,OPEN REDUCTION OF FRACTURE OF METACARPAL BONE WITH INTERNAL FIXATION,Primary open reduction of small bone with fixation including intra-articular,Intermediate,No
Orthopaedics,OPEN REDUCTION OF FRACTURE OF PATELLA WITH INTERNAL FIXATION,Primary open reduction of small bone with fixation including intra-articular,Intermediate,No
,OPEN REDUCTION OF FRACTURE OF PATELLA WITH INTERNAL FIXATION,Primary open reduction of small bone with fixation including intra-articular,Intermediate,No
,OPEN REDUCTION OF FRACTURE OF RADIUS AND ULNA,Primary open reduction of long bone with fixation ,Major,No
Orthopaedics,OPEN REDUCTION OF FRACTURE OF RADIUS AND ULNA,Primary open reduction of long bone with fixation,Major,No
,OPEN REDUCTION OF FRACTURE OF RADIUS AND ULNA WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation ,Major,No
,OPEN REDUCTION OF FRACTURE OF RADIUS WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation ,Major,No
Orthopaedics,OPEN REDUCTION OF FRACTURE OF RADIUS WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation,Major,No
Orthopaedics,OPEN REDUCTION OF FRACTURE OF SCAPHOID BONE WITH INTERNAL FIXATION,Early open reduction and internal fixation of scaphoid fracture ie within 6 weeks of fracture,Major,No
Orthopaedics,OPEN REDUCTION OF FRACTURE OF SCAPULA WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation ,Major,No
Orthopaedics,OPEN REDUCTION OF FRACTURE OF TIBIA WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation,Major,No
,OPEN REDUCTION OF FRACTURE OF TIBIA WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation ,Major,No
Orthopaedics,OPEN REDUCTION OF FRACTURE OF ULNA WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation,Major,No
Maxillo-Facial Surgery,OPEN REDUCTION OF FRACTURE OF ZYGOMA OR ZYGOMATIC ARCH,Open reduction of fracture of zygomatic complex of bones,Major,No
,OPEN REDUCTION OF FRACTURE WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation ,Major,No
Orthopaedics,OPEN REDUCTION OF FRACTURE WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation,Major,No
ENT,OPEN REDUCTION OF MALAR AND ZYGOMATIC FRACTURE,Open reduction of fracture of zygomatic complex of bones,Major,No
Maxillo-Facial Surgery,OPEN REDUCTION OF MALAR AND ZYGOMATIC FRACTURE,Open reduction of fracture of zygomatic complex of bones,Major,No
Head and Neck,OPEN REDUCTION OF MALAR AND ZYGOMATIC FRACTURE,Open reduction of fracture of zygomatic complex of bones,Major,No
Orthopaedics,OPEN REDUCTION OF OPEN FRACTURE OF RADIUS WITH INTERNAL FIXATION,Primary open reduction of long bone with fixation,Major,No
Orthopaedics,"OPEN REDUCTION OF OPEN STERNOCLAVICULAR DISLOCATION, CHRONIC, WITH FASCIAL GRAFT",Primary open reduction of dislocation of large joint,Intermediate,No
Orthopaedics,OPEN REDUCTION OF ORBITAL FLOOR BLOWOUT FRACTURE BY PERIORBITAL APPROACH,-,Major,No
Colorectal Surgery,OPEN REPAIR OF FEMORAL HERNIA,Primary repair of femoral hernia,Intermediate,No
General Surgery,OPEN REPAIR OF FEMORAL HERNIA USING SYNTHETIC MESH,Primary repair of femoral hernia,Intermediate,No
Orthopaedics,OPEN REPAIR OF GLENOID LABRUM,Open sub acromial decompression and rotator cuff repair +/- excision of distal clavicle,Major,No
General Surgery,OPEN REPAIR OF INCISIONAL HERNIA,Open repair of incisional hernia not requiring mesh,Intermediate,No
Colorectal Surgery,OPEN REPAIR OF INCISIONAL HERNIA,Open repair of incisional hernia not requiring mesh,Intermediate,No
Upper Gastro-intestinal Surgery,OPEN REPAIR OF INCISIONAL HERNIA,Open repair of incisional hernia not requiring mesh,Intermediate,No
Bariatrics,OPEN REPAIR OF INCISIONAL HERNIA,Open repair of incisional hernia not requiring mesh,Intermediate,No
,OPEN REPAIR OF INCISIONAL HERNIA,Open repair of incisional hernia not requiring mesh,Intermediate,No
General Surgery,OPEN REPAIR OF INCISIONAL HERNIA USING BIOLOGICAL MESH,Open repair of incisional hernia requiring mesh,Intermediate,No
,OPEN REPAIR OF INCISIONAL HERNIA USING BIOLOGICAL MESH,Open repair of incisional hernia requiring mesh,Intermediate,No
Gastroenterology,OPEN REPAIR OF INCISIONAL HERNIA USING BIOLOGICAL MESH WITH ANTERIOR COMPONENT SEPARATION,Open repair of incisional hernia requiring mesh,Intermediate,No
Bariatrics,OPEN REPAIR OF INCISIONAL HERNIA USING SYNTHETIC MESH,Open repair of incisional hernia requiring mesh,Intermediate,No
Gastroenterology,OPEN REPAIR OF INCISIONAL HERNIA USING SYNTHETIC MESH,Open repair of incisional hernia requiring mesh,Intermediate,No
Upper Gastro-intestinal Surgery,OPEN REPAIR OF INCISIONAL HERNIA USING SYNTHETIC MESH WITH POSTERIOR COMPONENT SEPARATION,Open repair of incisional hernia requiring mesh,Intermediate,No
General Surgery,OPEN REPAIR OF INCISIONAL HERNIA USING SYNTHETIC MESH WITH POSTERIOR COMPONENT SEPARATION,Open repair of incisional hernia requiring mesh,Intermediate,No
General Surgery,OPEN REPAIR OF INGUINAL HERNIA,Primary repair of inguinal hernia,Intermediate,No
Upper Gastro-intestinal Surgery,OPEN REPAIR OF INGUINAL HERNIA,Primary repair of inguinal hernia,Intermediate,No
Colorectal Surgery,OPEN REPAIR OF INGUINAL HERNIA,Primary repair of inguinal hernia,Intermediate,No
,OPEN REPAIR OF INGUINAL HERNIA,Primary repair of inguinal hernia,Intermediate,No
General Surgery,OPEN REPAIR OF INGUINAL HERNIA USING BIOLOGICAL MESH,Primary repair of inguinal hernia,Intermediate,No
Bariatrics,OPEN REPAIR OF INGUINAL HERNIA USING SYNTHETIC MESH,Primary repair of inguinal hernia,Intermediate,No
,OPEN REPAIR OF INGUINAL HERNIA USING SYNTHETIC MESH,Primary repair of inguinal hernia,Intermediate,No
